timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1715854833.543293 0.06990369 -0.04372140 -0.01160095 -0.00055157 0.00284114 -0.00052321
1715854833.609975 0.06990363 -0.04372139 -0.01160094 -0.00015407 0.00361018 -0.00081975
1715854833.676655 0.06990365 -0.04372141 -0.01160094 -0.00041518 0.00300142 -0.00009767
1715854833.743336 0.06990362 -0.04372139 -0.01160094 -0.00022183 0.00339473 -0.00027549
1715854833.810018 0.06990365 -0.04372141 -0.01160095 -0.00009101 0.00312893 -0.00018193
1715854833.876699 0.06990367 -0.04372142 -0.01160096 -0.00076910 0.00313884 -0.00000914
1715854833.943380 0.06990367 -0.04372142 -0.01160096 -0.00076910 0.00313884 -0.00000914
1715854834.010061 0.06990370 -0.04372147 -0.01160096 0.00000163 0.00347891 -0.00145466
1715854834.076742 0.06990369 -0.04372144 -0.01160096 -0.00045977 0.00331794 0.00023582
1715854834.143422 0.06990369 -0.04372145 -0.01160096 0.00013139 0.00346926 -0.00086127
1715854834.210102 0.06990370 -0.04372145 -0.01160096 -0.00057823 0.00348275 -0.00074837
1715854834.276783 0.06990370 -0.04372145 -0.01160096 -0.00016414 0.00319446 -0.00028221
1715854834.343464 0.06990370 -0.04372145 -0.01160096 -0.00044966 0.00304183 0.00043285
1715854834.410144 0.06990370 -0.04372145 -0.01160096 -0.00013588 0.00351498 -0.00092824
1715854834.510168 0.06990370 -0.04372146 -0.01160096 0.00005338 0.00353652 0.00025142
1715854834.576851 0.06990369 -0.04372147 -0.01160096 -0.00024218 0.00330824 -0.00013839
1715854834.643535 0.06990371 -0.04372147 -0.01160097 -0.00029929 0.00306094 -0.00067275
1715854834.710219 0.06990371 -0.04372147 -0.01160097 -0.00074735 0.00333278 -0.00050364
1715854834.776903 0.06990371 -0.04372147 -0.01160097 -0.00050571 0.00369639 0.00002469
1715854834.843587 0.06990371 -0.04372147 -0.01160097 0.00006231 0.00333475 0.00001583
1715854834.910270 0.06990369 -0.04372145 -0.01160096 -0.00036610 0.00346483 -0.00083125
1715854834.976953 0.06990366 -0.04372141 -0.01160095 -0.00017801 0.00362579 0.00018170
1715854835.043637 0.06990366 -0.04372141 -0.01160095 -0.00047519 0.00281660 0.00032216
1715854835.110321 0.06990367 -0.04372142 -0.01160095 -0.00034452 0.00384389 -0.00061917
1715854835.177005 0.06990367 -0.04372142 -0.01160095 -0.00046615 0.00329410 -0.00119708
1715854835.243688 0.06990369 -0.04372146 -0.01160096 -0.00058901 0.00295484 -0.00009778
1715854835.310372 0.06990370 -0.04372147 -0.01160096 -0.00050885 0.00318006 0.00014124
1715854835.377055 0.06990373 -0.04372147 -0.01160097 -0.00006068 0.00396880 0.00030169
1715854835.443738 0.06990374 -0.04372147 -0.01160097 0.00001790 0.00337637 0.00012996
1715854835.510425 0.06990374 -0.04372147 -0.01160097 -0.00051061 0.00305591 -0.00053368
1715854835.577112 0.06990375 -0.04372147 -0.01160097 0.00005587 0.00299014 -0.00017796
1715854835.643799 0.06990373 -0.04372146 -0.01160097 0.00025479 0.00384162 -0.00091376
1715854835.710486 0.06990374 -0.04372146 -0.01160097 -0.00002061 0.00339599 -0.00024863
1715854835.777173 0.06990373 -0.04372146 -0.01160097 0.00011312 0.00316977 -0.00038596
1715854835.843860 0.06990374 -0.04372146 -0.01160097 -0.00015942 0.00319717 0.00034084
1715854835.910545 0.06990375 -0.04372145 -0.01160097 -0.00035005 0.00306623 -0.00012450
1715854835.977232 0.06990374 -0.04372145 -0.01160097 0.00013428 0.00334773 -0.00004765
1715854836.043919 0.06990373 -0.04372145 -0.01160097 0.00019906 0.00357273 -0.00077017
1715854836.110606 0.06990374 -0.04372146 -0.01160097 0.00015090 0.00342925 0.00041890
1715854836.177293 0.06990374 -0.04372146 -0.01160097 -0.00007158 0.00326933 -0.00041019
1715854836.243980 0.06990377 -0.04372145 -0.01160098 -0.00030148 0.00300259 -0.00087308
1715854836.310666 0.06990370 -0.04372144 -0.01160096 0.00060203 0.00328569 -0.00082782
1715854836.377352 0.06990370 -0.04372144 -0.01160096 -0.00007052 0.00338605 -0.00004913
1715854836.444040 0.06990370 -0.04372144 -0.01160096 0.00004910 0.00335242 -0.00016777
1715854836.510725 0.06990370 -0.04372143 -0.01160096 -0.00051026 0.00385167 -0.00045282
1715854836.577410 0.06990370 -0.04372144 -0.01160096 -0.00106384 0.00410222 -0.00045841
1715854836.644095 0.06990370 -0.04372143 -0.01160096 -0.00037297 0.00354848 0.00041870
1715854836.710780 0.06990370 -0.04372143 -0.01160096 -0.00046940 0.00320090 -0.00069556
1715854836.777464 0.06990370 -0.04372149 -0.01160096 -0.00008055 0.00355844 0.00047120
1715854836.844149 0.06990370 -0.04372149 -0.01160096 0.00012234 0.00297047 0.00017796
1715854836.910834 0.06990369 -0.04372149 -0.01160096 -0.00050190 0.00344926 -0.00014614
1715854836.977519 0.06990377 -0.04372148 -0.01160097 0.00006701 0.00385542 0.00018099
1715854837.044204 0.06990379 -0.04372147 -0.01160098 0.00029655 0.00290662 -0.00076445
1715854837.110889 0.06990378 -0.04372147 -0.01160098 -0.00013473 0.00373743 -0.00014643
1715854837.177574 0.06990382 -0.04372149 -0.01160098 0.00004058 0.00252054 -0.00006604
1715854837.244258 0.06990382 -0.04372149 -0.01160098 -0.00030643 0.00356851 -0.00075312
1715854837.310943 0.06990380 -0.04372148 -0.01160098 -0.00071099 0.00357882 -0.00024094
1715854837.377627 0.06990380 -0.04372148 -0.01160098 0.00003031 0.00292624 -0.00035398
1715854837.444312 0.06990380 -0.04372148 -0.01160098 -0.00097375 0.00350990 -0.00040728
1715854837.510997 0.06990380 -0.04372148 -0.01160098 -0.00048709 0.00294557 -0.00053230
1715854837.577683 0.06990382 -0.04372153 -0.01160099 -0.00030256 0.00244150 0.00080346
1715854837.644367 0.06990382 -0.04372153 -0.01160099 -0.00029035 0.00294558 -0.00110848
1715854837.711052 0.06990383 -0.04372153 -0.01160099 0.00038823 0.00344460 -0.00066138
